team,name,state,country,district,rookie_year,active,norm_epa,wins,losses,ties,count,winrate
191,X-CATS,NY,USA,NULL,1992,t,1501,262,209,8,479,0.5553
192,GRT,CA,USA,NULL,1997,t,1552,371,308,14,693,0.5455
193,MORT Beta,NJ,USA,fma,1997,t,1556,260,220,12,492,0.5407
195,CyberKnights,CT,USA,ne,1998,t,1797,681,259,15,955,0.7209
197,Team 197,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
199,Deep Blue,CA,USA,NULL,1998,t,1520,58,72,0,130,0.4462
201,The FEDS,MI,USA,fim,1998,t,1516,426,397,17,840,0.5173
202,Team 202,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
203,SOUPer BOTS,NJ,USA,fma,1998,t,1593,258,319,11,588,0.4481
204,Eastern Robotic Vikings,NJ,USA,fma,1998,t,1476,212,300,14,526,0.4163
207,METALCRAFTERS,CA,USA,NULL,1999,t,1445,249,219,10,478,0.5314
209,DRRT,MA,USA,NULL,1999,f,1452,9,13,1,23,0.413
211,MAK,NY,USA,NULL,1999,f,1442,64,78,5,147,0.4524
212,Robotics And Creative Engineering,FL,USA,NULL,1999,f,1446,21,11,0,32,0.6562
213,The Dirty Birds,NH,USA,ne,1999,f,1521,172,159,8,339,0.5192
215,Team 215,TX,USA,NULL,1999,f,1504,5,4,0,9,0.5556
216,More RoboDawgs,MI,USA,fim,1999,t,1516,322,360,8,690,0.4725
217,ThunderChickens,MI,USA,fim,1999,t,1562,825,426,19,1270,0.6571
219,Team Impact 219,NJ,USA,fma,1999,t,1477,251,276,9,536,0.4767
222,Tigertrons,PA,USA,fma,1999,t,1580,502,327,11,840,0.6042
223,Xtreme Heat,NJ,USA,fma,1999,t,1535,314,384,11,709,0.4506
224,The Tribe,NJ,USA,fma,1999,f,1545,237,242,12,491,0.4949
225,TechFire,PA,USA,fma,1999,f,1863,457,202,11,670,0.6903
226,Hammerheads,MI,USA,fim,1999,t,1606,444,377,22,843,0.5397
227,Team 227,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
228,GUS Robotics Team Inc. 228,CT,USA,ne,1999,t,1501,320,300,12,632,0.5158
229,Division By Zero,NY,USA,NULL,1999,t,1437,320,271,9,600,0.5408
230,Gaelhawks,CT,USA,ne,1999,t,1717,665,351,14,1030,0.6524
